"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Griseofulvin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.3425009E-09
0,6,2.8891665E-07
0,9,5.3508047E-06
0,12,3.847468E-05
0,15,0.00016792273
0,18,0.0005392986
0,21,0.0014084935
0,24,0.0031710614
0,27,0.006385082
0,30,0.011785289
0,33,0.020286547
0,36,0.03297485
0,39,0.051083967
0,42,0.075956054
0,45,0.10891592
0,48,0.15065157
0,51,0.20121962
0,54,0.2605686
0,57,0.32865217
0,60,0.40533563
0,63,0.49015084
0,66,0.58221287
0,69,0.6805916
0,72,0.7844047
0,75,0.8927336
0,78,1.0045447
0,81,1.1181527
0,84,1.2310263
0,87,1.3412656
0,90,1.4476116
0,93,1.549237
0,96,1.6456766
0,99,1.7366225
0,102,1.821463
0,105,1.8997097
0,108,1.9712883
0,111,2.0364702
0,114,2.095737
0,117,2.1496682
0,120,2.1988626
0,135,2.3918698
0,150,2.5291593
0,165,2.6354353
0,180,2.721901
0,195,2.7939134
0,210,2.854367
0,225,2.9050908
0,240,2.9474158
0,255,2.9824018
0,270,3.010945
0,285,3.0338202
0,300,3.0516942
0,315,3.0651555
0,330,3.0747192
0,345,3.0808384
0,360,3.083912
0,375,3.0842917
0,390,3.0822856
0,405,3.0781717
0,420,3.0721858
0,435,3.06454
0,450,3.055425
0,465,3.0450075
0,480,3.0334346
0,495,3.0208373
0,510,3.007331
0,525,2.993018
0,540,2.9779906
0,555,2.9623303
0,570,2.9461093
0,585,2.9293923
0,600,2.9122367
0,615,2.8946946
0,630,2.8768122
0,645,2.8586314
0,660,2.8401897
0,675,2.8215206
0,690,2.8026545
0,705,2.7836194
0,720,2.7644398
0,735,2.7451384
0,750,2.725736
0,765,2.7062511
0,780,2.686701
0,795,2.6671011
0,810,2.647466
0,825,2.6278083
0,840,2.6081407
0,855,2.5884738
0,870,2.568818
0,885,2.5491834
0,900,2.529578
0,915,2.51001
0,930,2.4904873
0,945,2.4710166
0,960,2.4516046
0,975,2.4322572
0,990,2.4129798
0,1005,2.393778
0,1020,2.374657
0,1035,2.3556204
0,1050,2.336673
0,1065,2.3178189
0,1080,2.2990615
0,1095,2.2804046
0,1110,2.2618508
0,1125,2.243404
0,1140,2.225066
0,1155,2.20684
0,1170,2.1887283
0,1185,2.170733
0,1200,2.1528563
0,1215,2.1351
0,1230,2.1174657
0,1245,2.0999553
0,1260,2.0825703
0,1275,2.065312
0,1290,2.0481813
0,1305,2.03118
0,1320,2.0143085
0,1335,1.9975678
0,1350,1.9809588
0,1365,1.9644823
0,1380,1.9481388
0,1395,1.9319288
0,1410,1.9158528
0,1425,1.8999112
0,1440,1.884104
0,1455,1.8684318
0,1470,1.8528947
0,1485,1.8374925
0,1500,1.8222255
0,1515,1.8070935
0,1530,1.7920964
0,1545,1.7772342
0,1560,1.7625065
0,1575,1.7479132
0,1590,1.733454
0,1605,1.7191284
0,1620,1.704936
0,1635,1.6908765
0,1650,1.6769495
0,1665,1.6631542
0,1680,1.6494904
0,1695,1.6359574
0,1710,1.6225544
0,1725,1.6092811
0,1740,1.5961366
0,1755,1.5831202
0,1770,1.5702314
0,1785,1.5574694
0,1800,1.5448333
0,1815,1.5323225
0,1830,1.5199361
0,1845,1.5076733
0,1860,1.4955332
0,1875,1.4835151
0,1890,1.4716182
0,1905,1.4598415
0,1920,1.448184
0,1935,1.436645
0,1950,1.4252236
0,1965,1.4139187
0,1980,1.4027296
0,1995,1.3916552
0,2010,1.3806947
0,2025,1.369847
0,2040,1.3591114
0,2055,1.3484867
0,2070,1.3379719
0,2085,1.3275664
0,2100,1.3172688
0,2115,1.3070785
0,2130,1.2969943
0,2145,1.2870153
0,2160,1.2771405
0,2175,1.2673689
0,2190,1.2576997
0,2205,1.2481319
0,2220,1.2386643
0,2235,1.2292961
0,2250,1.2200263
0,2265,1.2108539
0,2280,1.2017782
0,2295,1.1927979
0,2310,1.1839122
0,2325,1.17512
0,2340,1.1664206
0,2355,1.157813
0,2370,1.149296
0,2385,1.140869
0,2400,1.1325309
0,2415,1.1242808
0,2430,1.1161177
0,2445,1.1080408
0,2460,1.1000493
0,2475,1.0921419
0,2490,1.084318
0,2505,1.0765768
0,2520,1.0689172
0,2535,1.0613383
0,2550,1.0538393
0,2565,1.0464194
0,2580,1.0390776
0,2595,1.0318131
0,2610,1.0246252
0,2625,1.0175129
0,2640,1.0104753
0,2655,1.0035117
0,2670,0.9966212
0,2685,0.98980296
0,2700,0.9830563
0,2715,0.9763803
0,2730,0.96977425
0,2745,0.9632373
0,2760,0.95676863
0,2775,0.95036757
0,2790,0.94403327
0,2805,0.937765
0,2820,0.931562
0,2835,0.92542356
0,2850,0.9193489
0,2865,0.9133373
0,2880,0.90738803
