"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Griseofulvin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.3425009E-09
0,6,2.8891665E-07
0,9,5.3508047E-06
0,12,3.847468E-05
0,15,0.00016792273
0,18,0.0005392986
0,21,0.0014084935
0,24,0.0031710614
0,27,0.006385082
0,30,0.011785289
0,33,0.020286547
0,36,0.03297485
0,39,0.051083967
0,42,0.075956054
0,45,0.10891592
0,48,0.15065157
0,51,0.20121962
0,54,0.2605686
0,57,0.32865217
0,60,0.40533563
0,63,0.49015084
0,66,0.58221287
0,69,0.6805916
0,72,0.7844047
0,75,0.8927336
0,78,1.0045447
0,81,1.1181527
0,84,1.2310263
0,87,1.3412656
0,90,1.4476116
0,93,1.549237
0,96,1.6456766
0,99,1.7366225
0,102,1.821463
0,105,1.8997097
0,108,1.9712883
0,111,2.0364702
0,114,2.095737
0,117,2.1496682
0,120,2.1988626
0,135,2.3918698
0,150,2.5291593
0,165,2.6354353
0,180,2.721901
0,195,2.7937183
0,210,2.853908
0,225,2.9045143
0,240,2.9468105
0,255,2.9818153
0,270,3.0103986
0,285,3.033319
0,300,3.0512416
0,315,3.0647516
0,330,3.0743613
0,345,3.0805287
0,360,3.0836442
0,375,3.0840611
0,390,3.0820909
0,405,3.0780065
0,420,3.0720491
0,435,3.0644312
0,450,3.0553412
0,465,3.044946
0,480,3.0333927
0,495,3.0208123
0,510,3.0073206
0,525,2.9930208
0,540,2.9780045
0,555,2.9623535
0,570,2.94614
0,585,2.929429
0,600,2.912279
0,615,2.8947413
0,630,2.8768628
0,645,2.858685
0,660,2.8402457
0,675,2.8215785
0,690,2.802714
0,705,2.78368
0,720,2.764501
0,735,2.7452002
0,750,2.7257981
0,765,2.7063134
0,780,2.686763
0,795,2.667163
0,810,2.6475272
0,825,2.6278694
0,840,2.608201
0,855,2.5885339
0,870,2.5688777
0,885,2.549242
0,900,2.529636
0,915,2.5100672
0,930,2.4905436
0,945,2.4710722
0,960,2.4516592
0,975,2.4323108
0,990,2.4130328
0,1005,2.3938303
0,1020,2.374708
0,1035,2.3556707
0,1050,2.3367226
0,1065,2.3178678
0,1080,2.2991095
0,1095,2.2804518
0,1110,2.2618973
0,1125,2.2434494
0,1140,2.2251108
0,1155,2.2068841
0,1170,2.1887715
0,1185,2.1707757
0,1200,2.152898
0,1215,2.1351411
0,1230,2.1175063
0,1245,2.0999951
0,1260,2.0826097
0,1275,2.0653505
0,1290,2.0482194
0,1305,2.031217
0,1320,2.0143452
0,1335,1.9976039
0,1350,1.9809943
0,1365,1.9645172
0,1380,1.9481732
0,1395,1.9319627
0,1410,1.9158862
0,1425,1.8999441
0,1440,1.8841366
0,1455,1.8684639
0,1470,1.8529263
0,1485,1.8375237
0,1500,1.8222562
0,1515,1.8071239
0,1530,1.7921264
0,1545,1.7772639
0,1560,1.7625358
0,1575,1.7479421
0,1590,1.7334825
0,1605,1.7191565
0,1620,1.7049638
0,1635,1.690904
0,1650,1.6769766
0,1665,1.6631811
0,1680,1.6495168
0,1695,1.6359835
0,1710,1.6225802
0,1725,1.6093066
0,1740,1.5961617
0,1755,1.5831451
0,1770,1.5702561
0,1785,1.5574938
0,1800,1.5448575
0,1815,1.5323464
0,1830,1.5199597
0,1845,1.5076966
0,1860,1.4955564
0,1875,1.483538
0,1890,1.4716408
0,1905,1.4598638
0,1920,1.4482061
0,1935,1.4366668
0,1950,1.425245
0,1965,1.41394
0,1980,1.4027506
0,1995,1.391676
0,2010,1.3807151
0,2025,1.3698672
0,2040,1.3591313
0,2055,1.3485063
0,2070,1.3379914
0,2085,1.3275856
0,2100,1.3172878
0,2115,1.3070972
0,2130,1.2970128
0,2145,1.2870336
0,2160,1.2771585
0,2175,1.2673868
0,2190,1.2577174
0,2205,1.2481493
0,2220,1.2386814
0,2235,1.2293131
0,2250,1.2200431
0,2265,1.2108706
0,2280,1.2017945
0,2295,1.1928141
0,2310,1.1839281
0,2325,1.1751359
0,2340,1.1664363
0,2355,1.1578285
0,2370,1.1493113
0,2385,1.1408842
0,2400,1.1325458
0,2415,1.1242956
0,2430,1.1161324
0,2445,1.1080552
0,2460,1.1000634
0,2475,1.092156
0,2490,1.084332
0,2505,1.0765905
0,2520,1.0689307
0,2535,1.0613518
0,2550,1.0538527
0,2565,1.0464326
0,2580,1.0390906
0,2595,1.0318261
0,2610,1.0246379
0,2625,1.0175254
0,2640,1.0104878
0,2655,1.003524
0,2670,0.99663335
0,2685,0.98981506
0,2700,0.9830682
0,2715,0.9763921
0,2730,0.96978587
0,2745,0.9632488
0,2760,0.95678
0,2775,0.95037884
0,2790,0.9440444
0,2805,0.937776
0,2820,0.9315729
0,2835,0.92543435
0,2850,0.91935956
0,2865,0.9133479
0,2880,0.90739846
